序號,統計期,統計區,"總計 (公噸)","紙類及紙製品 (公噸)","金屬類 (公噸)","塑膠及橡膠製品 (公噸)","玻璃製品 (公噸)","紡織品 (公噸)","家電用品 (公噸)","電池 (公噸)","資訊及通信物品 (公噸)","農藥容器及特殊環境用藥容器 (公噸)","食用油 (公噸)","其他 (公噸)"
2149,"91年 12月",高雄市(舊),"6,226","2,794","1,477",837,847,64,73,19,16,0,0,99
2150,"103年 9月",新竹市,"6,604","3,992",690,490,999,234,47,69,27,0,0,56
2151,"91年 12月",高雄縣,"3,499","1,493",648,433,440,63,53,9,14,0,0,345
2152,"103年 9月",嘉義市,"3,763","1,857","1,001",365,198,65,184,19,54,0,0,20
2153,"91年 12月",宜蘭縣,"1,794",794,427,182,158,25,18,7,3,0,0,180
2154,"103年 9月",金門縣,860,443,189,134,55,3,17,5,7,0,0,8
2155,"91年 12月",新竹縣,793,498,149,51,55,1,18,7,10,0,0,4
2156,"103年 9月",連江縣,192,76,61,36,11,1,4,3,1,0,0,0
2157,"91年 12月",苗栗縣,"1,604",854,194,146,164,26,12,20,3,0,0,185
2158,"103年 10月",新北市,"36,030","19,129","8,697","4,108","2,299",451,357,77,101,14,0,797
2159,"91年 12月",彰化縣,"3,337","1,782",652,383,379,29,42,12,10,0,0,49
2160,"103年 10月",臺北市,"41,106","24,797","13,025","2,130",724,51,215,20,54,0,0,92
2161,"91年 12月",南投縣,"1,196",475,258,169,156,20,15,8,8,0,0,86
2162,"103年 10月",桃園市,"28,996","15,833","6,915","2,664","1,683",197,474,174,228,2,0,826
2163,"91年 12月",雲林縣,"1,844",825,369,294,247,15,22,6,46,0,0,21
2164,"103年 10月",臺中市,"30,371","16,924","5,157","3,182","3,127",203,447,113,154,12,0,"1,052"
2165,"91年 12月",嘉義縣,"1,352",595,393,224,76,10,19,12,4,0,0,19
2166,"103年 10月",臺南市,"23,500","13,238","6,238","1,933","1,194",163,204,134,102,7,0,287
2167,"91年 12月",屏東縣,947,397,135,188,150,8,10,2,0,0,0,58
2168,"103年 10月",高雄市,"36,056","17,380","6,353","2,753","3,279","1,022",550,299,298,6,0,"4,116"
2169,"91年 12月",臺東縣,"1,454",705,167,300,259,12,6,3,0,0,0,1
2170,"103年 10月",宜蘭縣,"5,544","2,937","1,139",617,542,138,57,18,15,4,0,78
2171,"91年 12月",花蓮縣,"1,541","1,007",197,141,47,11,45,5,10,0,0,78
2172,"103年 10月",新竹縣,"7,037","3,150","2,360",803,509,27,77,48,32,0,0,31
2173,"91年 12月",澎湖縣,415,178,19,33,44,7,21,26,3,0,0,84
2174,"103年 10月",苗栗縣,"6,048","2,399","1,664",761,851,87,140,37,48,2,0,58
2175,"91年 12月",基隆市,"2,049",823,365,374,259,78,106,25,16,0,0,4
2176,"103年 10月",彰化縣,"13,759","7,504","1,862","1,423","1,668",549,284,47,57,7,0,359
2177,"91年 12月",新竹市,"1,475",462,316,332,172,7,36,6,9,0,0,136
2178,"103年 10月",南投縣,"6,398","3,512",919,"1,096",439,66,240,50,34,2,0,40
2179,"91年 12月",嘉義市,644,315,82,110,91,41,2,0,1,0,0,2
2180,"103年 10月",雲林縣,"5,808","2,442","1,797",613,534,55,262,36,25,18,0,25
2181,"91年 12月",金門縣,194,74,61,13,2,0,5,0,1,0,0,39
2182,"103年 10月",嘉義縣,"6,305","2,051","2,288",939,640,185,49,18,9,5,0,122
2183,"91年 12月",連江縣,0,0,0,0,0,0,0,0,0,0,0,0
2184,"103年 10月",屏東縣,"8,863","3,504","2,276","1,235",991,111,351,148,32,7,0,208
2185,92年,新北市,"137,506","65,109","45,286","11,251","9,112","2,858","1,570",777,524,0,0,"1,019"
2186,"103年 10月",臺東縣,"2,398",732,209,931,455,8,8,11,1,10,0,32
