序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
286,"90年 5月",桃園市,"56,973","53,658",0,"3,315",0,1.06
287,"100年 6月",雲林縣,"15,981","10,435",170,"4,143","1,232",0.744
288,"90年 5月",臺中市,"63,857","55,218",0,"8,639",0,0.835
289,"100年 6月",嘉義縣,"15,309","9,565",185,"4,772",787,0.944
290,"90年 5月",臺中市(舊),"22,771","17,910",0,"4,861",0,0.757
291,"100年 6月",屏東縣,"22,836","13,861",671,"6,912","1,392",0.876
292,"90年 5月",臺中縣,"41,086","37,308",0,"3,778",0,0.886
293,"100年 6月",臺東縣,"6,436","4,093",111,"1,724",507,0.935
294,"90年 5月",臺南市,"57,625","53,488",0,"4,137",0,1.009
295,"100年 6月",花蓮縣,"8,969","4,674",69,"3,388",838,0.885
296,"90年 5月",臺南市(舊),"23,933","21,877",0,"2,056",0,1.049
297,"100年 6月",澎湖縣,"3,248","1,717",73,"1,112",346,1.121
298,"90年 5月",臺南縣,"33,692","31,611",0,"2,081",0,0.982
299,"100年 6月",基隆市,"12,196","5,821",190,"5,097","1,088",1.064
300,"90年 5月",高雄市,"79,978","73,805",0,"6,172",0,0.948
301,"100年 6月",新竹市,"12,918","6,223",311,"5,250","1,134",1.032
302,"90年 5月",高雄市(舊),"46,524","42,508",0,"4,017",0,1.005
303,"100年 6月",嘉義市,"9,076","4,616",274,"3,280",907,1.112
304,"90年 5月",高雄縣,"33,453","31,298",0,"2,156",0,0.879
305,"100年 6月",金門縣,"1,700",974,50,542,134,0.57
306,"90年 5月",宜蘭縣,"14,645","13,569",0,"1,077",0,1.016
307,"100年 6月",連江縣,468,209,42,137,80,1.56
308,"90年 5月",新竹縣,"14,478","13,281",0,"1,197",0,1.065
309,"100年 7月",新北市,"85,310","29,835","2,664","36,170","16,641",0.705
310,"90年 5月",苗栗縣,"16,584","15,424",0,"1,160",0,0.973
311,"100年 7月",臺北市,"81,876","31,765","1,388","40,748","7,974",1.002
312,"90年 5月",彰化縣,"34,716","32,783",0,"1,933",0,0.855
313,"100年 7月",桃園市,"59,963","26,952",686,"24,210","8,115",0.964
314,"90年 5月",南投縣,"13,275","12,648",0,628,0,0.8
315,"100年 7月",臺中市,"66,558","34,125","1,325","25,186","5,921",0.808
316,"90年 5月",雲林縣,"20,470","19,684",0,786,0,0.89
317,"100年 7月",臺南市,"54,378","25,528","1,270","22,125","5,455",0.935
318,"90年 5月",嘉義縣,"16,387","15,423",0,963,0,0.943
319,"100年 7月",高雄市,"85,674","41,599","1,291","35,909","6,876",0.997
320,"90年 5月",屏東縣,"28,531","27,393",0,"1,137",0,1.016
321,"100年 7月",宜蘭縣,"14,802","6,142",286,"5,786","2,588",1.039
322,"90年 5月",臺東縣,"9,052","7,986",0,"1,066",0,1.218
323,"100年 7月",新竹縣,"15,211","8,475",12,"5,539","1,185",0.952
324,"90年 5月",花蓮縣,"14,177","13,376",0,801,0,1.302
325,"100年 7月",苗栗縣,"14,875","8,065",180,"5,542","1,088",0.856
326,"90年 5月",澎湖縣,"2,995","2,728",0,267,0,1.074
327,"100年 7月",彰化縣,"38,263","22,090",394,"11,414","4,366",0.946
328,"90年 5月",基隆市,"12,853","10,938",0,"1,914",0,1.065
329,"100年 7月",南投縣,"14,535","7,834",100,"4,860","1,741",0.894
330,"90年 5月",新竹市,"12,872","11,492",0,"1,379",0,1.121
331,"100年 7月",雲林縣,"16,262","10,439",177,"4,363","1,283",0.734
332,"90年 5月",嘉義市,"9,241","9,056",0,185,0,1.118
333,"100年 7月",嘉義縣,"15,454","9,538",276,"4,827",813,0.923
334,"90年 5月",金門縣,"2,143","2,007",0,136,0,1.248
335,"100年 7月",屏東縣,"22,880","13,923",671,"6,908","1,378",0.85
336,"90年 5月",連江縣,0,0,0,0,0,0
337,"100年 7月",臺東縣,"6,926","4,264",104,"1,992",566,0.974
338,"90年 6月",新北市,"106,699","102,271",0,"4,428",0,0.991
339,"100年 7月",花蓮縣,"9,005","4,588",94,"3,489",833,0.861
340,"90年 6月",臺北市,"72,285","66,286",0,"5,999",0,0.912
341,"100年 7月",澎湖縣,"3,247","1,728",56,"1,104",359,1.084
342,"90年 6月",桃園市,"55,150","52,100",0,"3,050",0,1.059
343,"100年 7月",基隆市,"12,140","5,754",237,"5,150",998,1.026
344,"90年 6月",臺中市,"61,398","52,888",0,"8,509",0,0.829
345,"100年 7月",新竹市,"13,164","6,327",350,"5,266","1,220",1.017
346,"90年 6月",臺中市(舊),"21,310","16,630",0,"4,680",0,0.731
347,"100年 7月",嘉義市,"8,868","4,484",286,"3,232",865,1.051
348,"90年 6月",臺中縣,"40,088","36,258",0,"3,830",0,0.893
349,"100年 7月",金門縣,"1,787","1,039",47,559,142,0.577
350,"90年 6月",臺南市,"55,907","51,708",0,"4,199",0,1.011
351,"100年 7月",連江縣,487,222,52,122,91,1.572
352,"90年 6月",臺南市(舊),"23,695","21,492",0,"2,203",0,1.072
353,"100年 8月",新北市,"81,706","30,006","2,308","33,342","16,050",0.675
354,"90年 6月",臺南縣,"32,212","30,216",0,"1,996",0,0.97
355,"100年 8月",臺北市,"81,613","32,312","1,250","40,385","7,666",0.998
356,"90年 6月",高雄市,"81,362","74,923",0,"6,439",0,0.996
357,"100年 8月",桃園市,"59,536","26,665",668,"23,836","8,367",0.956
358,"90年 6月",高雄市(舊),"47,409","43,272",0,"4,138",0,1.058
359,"100年 8月",臺中市,"66,415","33,521","1,387","25,558","5,949",0.806
360,"90年 6月",高雄縣,"33,952","31,651",0,"2,301",0,0.922
361,"100年 8月",臺南市,"53,847","25,519",896,"21,873","5,558",0.926
362,"90年 6月",宜蘭縣,"13,714","12,758",0,957,0,0.982
363,"100年 8月",高雄市,"85,132","40,664","1,561","35,793","7,115",0.99
364,"90年 6月",新竹縣,"13,359","12,674",0,685,0,1.014
365,"100年 8月",宜蘭縣,"14,424","5,888",290,"5,668","2,579",1.013
366,"90年 6月",苗栗縣,"16,515","15,380",0,"1,135",0,1.003
367,"100年 8月",新竹縣,"14,602","7,939",18,"5,467","1,179",0.913
368,"90年 6月",彰化縣,"34,089","32,264",0,"1,826",0,0.867
369,"100年 8月",苗栗縣,"14,434","7,593",166,"5,531","1,144",0.83
370,"90年 6月",南投縣,"13,391","12,703",0,688,0,0.833
