序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
193,"108年 3月",桃園市,"96,298","37,466",388,"55,621","2,823",1.395
194,"108年 4月",桃園市,"98,145","38,433",237,"56,608","2,866",1.467
195,"96年 7月",桃園市,"62,581","32,736",673,0,"7,650",1.05
196,"108年 5月",桃園市,"98,777","37,593",191,"58,080","2,914",1.428
197,"96年 8月",桃園市,"62,808","32,630",775,0,"8,900",1.052
198,"108年 6月",桃園市,"98,160","37,041",157,"58,051","2,911",1.465
199,"96年 9月",桃園市,"57,503","30,030",666,0,"7,057",0.994
200,"108年 7月",桃園市,"102,892","40,072",121,"59,871","2,827",1.484
201,"96年 10月",桃園市,"57,682","30,793","1,029",0,"6,196",0.964
202,"108年 8月",桃園市,"103,803","39,545",225,"61,181","2,851",1.495
203,"108年 9月",桃園市,"99,479","35,020",109,"61,463","2,887",1.479
204,"96年 11月",桃園市,"52,994","28,083",672,0,"6,028",0.914
205,"108年 10月",桃園市,"106,203","39,837",11,"63,406","2,949",1.527
206,"96年 12月",桃園市,"54,333","29,856",555,0,"6,068",0.906
207,"108年 11月",桃園市,"102,711","35,297",91,"64,533","2,790",1.524
208,97年,桃園市,"620,426","352,021","7,310","195,319","65,776",0.871
209,"108年 12月",桃園市,"104,147","39,080",14,"62,179","2,874",1.495
210,"97年 1月",桃園市,"54,890","32,172",916,"15,764","6,038",0.915
211,"97年 2月",桃園市,"52,410","30,764",583,"15,341","5,721",0.933
212,"97年 3月",桃園市,"50,254","29,443",513,"14,973","5,325",0.836
213,"97年 4月",桃園市,"49,613","29,408",617,"14,245","5,343",0.852
214,"97年 5月",桃園市,"53,368","29,895",531,"17,662","5,280",0.886
215,"97年 6月",桃園市,"54,086","30,821",652,"17,342","5,272",0.927
216,"97年 7月",桃園市,"53,289","30,937",688,"16,248","5,416",0.883
217,"97年 8月",桃園市,"51,334","27,904",577,"17,456","5,398",0.85
218,"97年 9月",桃園市,"53,759","29,409",620,"18,216","5,514",0.918
219,"97年 10月",桃園市,"50,779","28,266",611,"16,339","5,564",0.839
220,"97年 11月",桃園市,"46,862","24,956",454,"16,200","5,252",0.799
221,"97年 12月",桃園市,"49,780","28,046",547,"15,534","5,653",0.82
222,98年,桃園市,"664,983","343,507","8,551","241,165","71,760",0.925
223,"98年 1月",桃園市,"57,552","31,671",646,"19,440","5,795",0.947
224,"98年 2月",桃園市,"52,093","27,969",600,"18,274","5,250",0.949
225,"98年 3月",桃園市,"51,927","28,164",597,"17,911","5,254",0.853
226,"98年 4月",桃園市,"53,609","28,191",535,"19,398","5,484",0.91
227,"98年 5月",桃園市,"53,451","28,937",564,"17,878","6,072",0.878
228,"98年 6月",桃園市,"58,140","30,880",740,"20,167","6,353",0.986
229,"98年 7月",桃園市,"56,558","29,981",696,"19,450","6,430",0.927
230,"98年 8月",桃園市,"55,719","28,147",817,"20,712","6,042",0.913
231,"98年 9月",桃園市,"54,475","26,516",825,"21,019","6,115",0.921
232,"98年 10月",桃園市,"57,413","28,365",889,"21,897","6,262",0.938
233,"98年 11月",桃園市,"57,579","26,964",831,"23,334","6,449",0.971
234,"98年 12月",桃園市,"56,469","27,721",809,"21,685","6,253",0.921
235,99年,桃園市,"703,604","333,639","9,928","282,224","77,812",0.968
